,SEQ,LONG,LAT,LOCAL_ED,LOCALIZACA,REFERENCIA,DATA,MES,H_INICIO,H_FIM,DURACAO,DUR_H,id_estacao,codestacao,latitude,longitude,nome,id_municip,rede,tipoestaca,geocodigo,cidade,xcoord,ycoord
0,7.0,-46.638806,-23.549408,PC DA BANDEIRA,PC DA BANDEIRA,AV VINTE E TRES DE MAIO-CENTROBAIRRO-SE,2019-01-01,1.0,18:34:00,19:23:00,00:49:00,0.82,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
1,13.0,-46.63858,-23.54891,PC DA BANDEIRA,PC DA BANDEIRA,ALTURA DO NUMERO 27-CENTROBAIRRO-SE,2019-01-03,1.0,17:27:00,17:42:00,00:15:00,0.25,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
2,14.0,-46.63824,-23.55033,AV VINTE E TRES DE MAIO,AV VINTE E TRES DE MAIO LIBERDADE,PC DA BANDEIRA-SANTANAAEROPORTO-SE,2019-01-03,1.0,19:43:00,20:18:00,00:35:00,0.58,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
3,15.0,-46.63483,-23.54211,TUN PAPA JOAO PAULO II,TN PAPA JOAO PAULO II REPUBLICA,AV PRESTES MAIA-SANTANAAEROPORTO-SE,2019-01-03,1.0,19:52:00,20:04:00,00:12:00,0.2,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
4,22.0,-46.62947,-23.540356,R DA CANTAREIRA,R DA CANTAREIRA,AV MERCURIO-BAIRROCENTRO-SE,2019-01-04,1.0,14:45:00,15:03:00,00:18:00,0.3,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
5,28.0,-46.627559999999995,-23.539260000000002,R PAULA SOUSA,R PAULA SOUSA,AV DO ESTADO-AMBOS - LOCAL-SE,2019-01-04,1.0,15:04:00,15:53:00,00:49:00,0.82,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
6,32.0,-46.627041999999996,-23.543123,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO-SE,2019-01-04,1.0,15:56:00,17:56:00,02:00:00,2.0,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
7,33.0,-46.6305,-23.53974,AV SEN QUEIROS,AV SEN QUEIROS,ALTURA DO NUMERO 587-UNICO-SE,2019-01-04,1.0,17:52:00,19:30:00,01:38:00,1.63,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
8,41.0,-46.63824,-23.55033,PC DA BANDEIRA,P├ç DA BANDEIRA,AV 23 DE MAIO-CENTROBAIRRO-SE,2019-01-08,1.0,16:22:00,17:47:00,01:25:00,1.42,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
9,44.0,-46.642458000000005,-23.536496,AV RIO BRANCO,AV RIO BRANCO,AV DUQUE DE CAXIAS-BAIRROCENTRO-SE,2019-01-08,1.0,17:09:00,17:57:00,00:48:00,0.8,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
10,79.0,-46.649496,-23.555771,R MANOEL DUTRA,R MANOEL DUTRA,PC QUATORZE BIS-UNICO-SE,2019-01-17,1.0,18:37:00,19:22:00,00:45:00,0.75,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
11,81.0,-46.638806,-23.549408,PC DA BANDEIRA,PC DA BANDEIRA,AV VINTE E TRES DE MAIO-CENTROBAIRRO-SE,2019-01-17,1.0,18:41:00,19:27:00,00:46:00,0.77,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
12,82.0,-46.642458000000005,-23.536496,AV RIO BRANCO,AV RIO BRANCO,AV DUQUE DE CAXIAS-BAIRROCENTRO-SE,2019-01-17,1.0,18:57:00,19:35:00,00:38:00,0.63,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
13,84.0,-46.649899,-23.555743,PC QUATORZE BIS,PC QUATORZE BIS,AV NOVE DE JULHO-AMBOS-SE,2019-01-17,1.0,19:03:00,19:23:00,00:20:00,0.33,3179,355030833A,-23.543311,-46.635987,AC Central de SP,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.635987,-23.543311
