"COD	ESTACAO	LON	LAT	TRIAGEM"
"355030809A	Jardim São Luis	-46.728	-23.667	SIM"
"355030810A	Chacara Dona Olivia	-46.389	-23.513	SIM"
"355030838A	Residencial Cocaia	-46.66	-23.745	SIM"
"355030850A	CEU São Rafael	-46.457	-23.62	SIM"
"355030856A	Jardim Imperador	-46.609	-23.644	SIM"
"355030861A	Pedreira	-46.644	-23.705	SIM"
"355030864A	São Mateus	-46.468	-23.6	SIM"
"355030865A	Vila Constância	-46.674	-23.668	SIM"
"355030867A	C.E.U Parelheiros	-46.724	-23.829	SIM"
"355030868A	Subprefeitura de Itaquera	-46.447	-23.532	SIM"
"355030869A	Vila Prudente	-46.561	-23.584	SIM"
"355030873A	Perus	-46.753	-23.407	SIM"
"355030875A	Jardim São Roberto	-46.501	-23.622	SIM"
"355030878A	Lapa	-46.695	-23.522	SIM"
"355030881A	Itaim Paulista	-46.417	-23.494	SIM"
"355030882A	Campo Limpo	-46.757	-23.647	SIM"
"355030886A	Cangaíba	-46.496	-23.499	SIM"
"355030897A	Jaguaré	-46.743	-23.55	SIM"
"355030898A	Jardim Romano	-46.381	-23.479	SIM"
"355030801A	Jardim Paulistano	-46.751	-23.582	NÃO"
"355030802A	COHAB Inácio Monteiro	-46.411	-23.569	NÃO"
"355030806A	Cidade Tiradentes 2	-46.383	-23.58	NÃO"
"355030807A	Jardim dos Alamos	-46.736	-23.816	NÃO"
"355030811A	AC Santana	-46.629	-23.502	NÃO"
"355030812A	Luz	-46.633	-23.531	NÃO"
"355030813A	Jardim Guapira	-46.584	-23.457	NÃO"
"355030816A	Jardim Sapopemba	-46.494	-23.609	NÃO"
"355030818A	Itaquera2	-46.457	-23.522	NÃO"
"355030819A	Boa Esperança	-46.449	-23.603	NÃO"
"355030820A	Cidade Tiradentes	-46.406	-23.595	NÃO"
"355030822A	Vila Leopoldina	-46.735	-23.535	NÃO"
"355030822B	Avenida Oratório	-46.523	-23.613	NÃO"
"355030824A	Jardim Angela	-46.765	-23.697	NÃO"
"355030825A	Burgo Paulista	-46.483	-23.517	NÃO"
"355030827B	Jardim Valparaiso	-46.59	-23.424	NÃO"
"355030828A	Jabaquara	-46.635	-23.668	NÃO"
"355030831A	AC Almeida Lima	-46.609	-23.552	NÃO"
"355030833A	AC Central de SP	-46.636	-23.543	NÃO"
"355030844A	Barro Branco	-46.68	-23.767	NÃO"
"355030849A	Vila Carrão	-46.526	-23.575	NÃO"
"355030851A	Jaraguá	-46.762	-23.48	NÃO"
"355030852A	Cidade Dutra	-46.702	-23.72	NÃO"
"355030853A	Pinheiros	-46.703	-23.563	NÃO"
"355030858A	Jardim Vera Cruz	-46.78	-23.736	NÃO"
"355030860A	Limão	-46.667	-23.511	NÃO"
"355030870A	Jabaquara	-46.64	-23.649	NÃO"
"355030871A	Ipiranga	-46.602	-23.587	NÃO"
"355030872A	Freguesia do Ó	-46.665	-23.476	NÃO"
"355030874A	Pirituba	-46.727	-23.489	NÃO"
"355030876A	Ermelino Matarazzo	-46.473	-23.5	NÃO"
"355030877A	Vila Formosa	-46.564	-23.561	NÃO"
"355030879A	Avenida Tucuruvi	-46.604	-23.481	NÃO"
"355030880A	Iguatemi	-46.427	-23.609	NÃO"
"355030884A	Lajeado	-46.401	-23.545	NÃO"
"355030885A	Jardim Anhanguera	-46.788	-23.44	NÃO"
"355030889A	Capão Redondo	-46.794	-23.686	NÃO"
"355030894A	Parque Morumbi	-46.727	-23.623	NÃO"
"355030895A	Pirajussara	-46.78	-23.638	NÃO"
"355030896A	Jardim João XXIII	-46.789	-23.6	NÃO"
"355030899A	Jardim Eledy	-46.786	-23.649	NÃO"
