,COD,ESTACAO,LON,LAT,TRIAGEM
0,355030809A,Jardim São Luis,-46.728,-23.667,SIM
1,355030810A,Chacara Dona Olivia,-46.389,-23.513,SIM
2,355030838A,Residencial Cocaia,-46.66,-23.745,SIM
3,355030850A,CEU São Rafael,-46.457,-23.62,SIM
4,355030856A,Jardim Imperador,-46.609,-23.644,SIM
5,355030861A,Pedreira,-46.644,-23.705,SIM
6,355030864A,São Mateus,-46.468,-23.6,SIM
7,355030865A,Vila Constância,-46.674,-23.668,SIM
8,355030867A,C.E.U Parelheiros,-46.724,-23.829,SIM
9,355030868A,Subprefeitura de Itaquera,-46.447,-23.532,SIM
10,355030869A,Vila Prudente,-46.561,-23.584,SIM
11,355030873A,Perus,-46.753,-23.407,SIM
12,355030875A,Jardim São Roberto,-46.501,-23.622,SIM
13,355030878A,Lapa,-46.695,-23.522,SIM
14,355030881A,Itaim Paulista,-46.417,-23.494,SIM
15,355030882A,Campo Limpo,-46.757,-23.647,SIM
16,355030886A,Cangaíba,-46.496,-23.499,SIM
17,355030897A,Jaguaré,-46.743,-23.55,SIM
18,355030898A,Jardim Romano,-46.381,-23.479,SIM
19,355030801A,Jardim Paulistano,-46.751,-23.582,NÃO
20,355030802A,COHAB Inácio Monteiro,-46.411,-23.569,NÃO
21,355030806A,Cidade Tiradentes 2,-46.383,-23.58,NÃO
22,355030807A,Jardim dos Alamos,-46.736,-23.816,NÃO
23,355030811A,AC Santana,-46.629,-23.502,NÃO
24,355030812A,Luz,-46.633,-23.531,NÃO
25,355030813A,Jardim Guapira,-46.584,-23.457,NÃO
26,355030816A,Jardim Sapopemba,-46.494,-23.609,NÃO
27,355030818A,Itaquera2,-46.457,-23.522,NÃO
28,355030819A,Boa Esperança,-46.449,-23.603,NÃO
29,355030820A,Cidade Tiradentes,-46.406,-23.595,NÃO
30,355030822A,Vila Leopoldina,-46.735,-23.535,NÃO
31,355030822B,Avenida Oratório,-46.523,-23.613,NÃO
32,355030824A,Jardim Angela,-46.765,-23.697,NÃO
33,355030825A,Burgo Paulista,-46.483,-23.517,NÃO
34,355030827B,Jardim Valparaiso,-46.59,-23.424,NÃO
35,355030828A,Jabaquara,-46.635,-23.668,NÃO
36,355030831A,AC Almeida Lima,-46.609,-23.552,NÃO
37,355030833A,AC Central de SP,-46.636,-23.543,NÃO
38,355030844A,Barro Branco,-46.68,-23.767,NÃO
39,355030849A,Vila Carrão,-46.526,-23.575,NÃO
40,355030851A,Jaraguá,-46.762,-23.48,NÃO
41,355030852A,Cidade Dutra,-46.702,-23.72,NÃO
42,355030853A,Pinheiros,-46.703,-23.563,NÃO
43,355030858A,Jardim Vera Cruz,-46.78,-23.736,NÃO
44,355030860A,Limão,-46.667,-23.511,NÃO
45,355030870A,Jabaquara,-46.64,-23.649,NÃO
46,355030871A,Ipiranga,-46.602,-23.587,NÃO
47,355030872A,Freguesia do Ó,-46.665,-23.476,NÃO
48,355030874A,Pirituba,-46.727,-23.489,NÃO
49,355030876A,Ermelino Matarazzo,-46.473,-23.5,NÃO
50,355030877A,Vila Formosa,-46.564,-23.561,NÃO
51,355030879A,Avenida Tucuruvi,-46.604,-23.481,NÃO
52,355030880A,Iguatemi,-46.427,-23.609,NÃO
53,355030884A,Lajeado,-46.401,-23.545,NÃO
54,355030885A,Jardim Anhanguera,-46.788,-23.44,NÃO
55,355030889A,Capão Redondo,-46.794,-23.686,NÃO
56,355030894A,Parque Morumbi,-46.727,-23.623,NÃO
57,355030895A,Pirajussara,-46.78,-23.638,NÃO
58,355030896A,Jardim João XXIII,-46.789,-23.6,NÃO
59,355030899A,Jardim Eledy,-46.786,-23.649,NÃO
